연번,건축구분,대지위치,지목,대지면적(㎡),건축면적(㎡),연면적(㎡),증축연면적(㎡),건폐율(%),용적률(%),허가일,착공처리일,사용승인일,최대지상층수,최대지하층수,동수,주용도,부속용도,총주차대수,세대수,호수,가구수,지번주소,위도,경도
1,대수선,서울특별시 동작구 대방동 403-11,대,759.09,410.99,"2,794.37",,54.1425,284.6803,2021-01-05,2021-01-08,,7,1.0,1,교육연구시설,"교육연구및복지시설,제1종근린생활시설",,,,,대방동 403-11,37.5070734,126.9280341
2,증축,서울특별시 동작구 노량진동 28-6,대,145,135.21,715.71,,93.25,403.08,2021-01-04,2021-01-13,,5,1.0,1,제1종근린생활시설,근생 및 위락시설(무도학원),,,,,노량진동 28-6,37.5110101,126.9414634
3,신축,서울특별시 동작구 흑석동 186-4 외1필지,대,643.8,346.3,"1,632.99",,53.79,189.86,2020-12-11,2021-01-08,,6,1.0,2,공동주택,도시형생활주택(단지형다세대),18.0,36.0,,,흑석동 186-4,36.2663026,127.3463137
4,신축,서울특별시 동작구 상도동 279-266,대,264,157.74,527.61,,59.75,199.85,2020-10-29,2021-01-19,,5,0.0,1,공동주택,다세대주택,8.0,10.0,,,상도동 279-266,0.0,0.0
5,신축,서울특별시 동작구 상도동 244-192 외1필지,대,252,150.84,582.41,,59.86,183.04,2020-10-21,2021-01-25,,4,1.0,1,단독주택,근생및다중주택,4.0,,,1.0,상도동 244-192,0.0,0.0
6,대수선,서울특별시 동작구 사당동 139-53,대,119,71.35,209.24,,59.96,175.83,2020-10-12,2021-01-29,,4,,1,제2종근린생활시설,,1.0,,,,사당동 139-53,37.4856963,126.9723525
7,신축,서울특별시 동작구 상도동 252-3,대,200.9,119.62,432.3,,59.54,165.57,2020-09-29,2021-01-08,,4,1.0,1,단독주택,근생및다중주택,4.0,,20.0,1.0,상도동 252-3,36.01528,129.35519
8,신축,서울특별시 동작구 상도동 299-102,대,165,98.84,397.86,,59.903,191.42,2020-09-22,2021-01-04,,4,1.0,1,단독주택,근생및다중주택,3.0,,,1.0,상도동 299-102,37.4988159,126.9441045
9,신축,서울특별시 동작구 흑석동 186-165,대,200,119.26,440.89,,59.63,160.82,2020-09-14,2021-01-21,,4,1.0,1,단독주택,다중주택 및 근린생활시설,0.0,,3.0,1.0,흑석동 186-165,0.0,0.0
10,신축,서울특별시 동작구 본동 51-8,대,186.9,105.66,277.8,,56.53,148.64,2020-08-28,2021-01-13,,5,0.0,1,공동주택,도시형생활주택(단지형다세대:12세대),6.0,12.0,,,본동 51-8,37.3273474,127.1602346
11,신축,서울특별시 동작구 대방동 393-86,대,167.1,83.4,434.44,,49.91,198.62,2020-07-22,2021-01-08,,5,1.0,1,단독주택,다중주택,3.0,,5.0,1.0,대방동 393-86,37.5070734,126.9280341
12,신축,서울특별시 동작구 사당동 182-3 외2필지,대,525.33,163.71,"1,379.22",,31.16,249.33,2019-07-09,2021-01-04,,10,1.0,1,업무시설,오피스텔 및 도시형생활주택,16.0,16.0,8.0,,사당동 182-3,37.4856963,126.9723525
13,대수선,서울특별시 동작구 노량진동 54-8,대,231,128.54,891.66,,55.645,294.9004,2022-04-27,2022-05-24,,6,1.0,1,제2종근린생활시설,의원,,,,,노량진동 54-8,37.5110101,126.9414634
14,대수선,서울특별시 동작구 대방동 520,대,"9,547.3",1.0,"1,491.5",,1.0,1.0,2022-04-19,2022-06-28,,0,3.0,1,수련시설,청소년수련시설,6.0,,,,대방동 520,37.5070734,126.9280341
15,신축,서울특별시 동작구 사당동 435-37,대,136,81.2,270.14,,59.71,198.63,2022-04-19,2022-06-08,,4,0.0,1,단독주택,"다중주택, 제2종근린생활시설(사무소)",2.0,,,1.0,사당동 435-37,37.4856963,126.9723525
16,신축,서울특별시 동작구 대방동 386-20,대,265.1,146.87,562.11,,55.4,199.83,2022-04-19,2022-06-09,,5,0.0,1,단독주택,다중주택,4.0,,7.0,1.0,대방동 386-20,37.5070734,126.9280341
17,신축,서울특별시 동작구 상도동 55-98 외1필지,대,165.2,98.64,404.48,,59.71,196.76,2022-04-12,2022-07-08,,4,1.0,1,단독주택,"다중주택 및 근린생활시설(종교집회장, 휴게음식점)",3.0,,,1.0,상도동 55-98,37.4988159,126.9441045
18,신축,서울특별시 동작구 상도동 256-181,대,165,98.3,292.81,,59.58,177.46,2022-04-07,2022-05-30,,5,0.0,1,공동주택,[다세대주택] 및 제2종근린생활시설[사무소],4.0,6.0,1.0,,상도동 256-181,0.0,0.0
19,증축,서울특별시 동작구 상도동 235-30,대,169,101.2,436.67,39.62,59.88,198.5,2022-04-06,2022-04-14,2022-05-16,4,1.0,1,단독주택,근린생활시설및 다가구주택,3.0,,,7.0,상도동 235-30,37.4988159,126.9441045
20,신축,서울특별시 동작구 사당동 279-16,대,116,69.6,169.36,,60.0,146.0,2022-04-05,2022-06-07,,4,0.0,1,단독주택,다가구주택,2.0,,,3.0,사당동 279-16,37.4856963,126.9723525
21,신축,서울특별시 동작구 상도1동 449-4,대,336.2,169.82,773.74,,50.51,188.23,2022-05-04,2022-06-10,,6,1.0,1,공동주택,단지형다세대주택,9.0,14.0,,,상도1동 449-4,37.49993085,126.95219024134829
